source_dataset,presbytery_normalized,presbytery_id,canonicalization_status,observed_roster_rows,unique_printed_name_denominator,confirmed_person_count,confirmed_resolution_rate,multi_roster_person_count,multi_roster_rate_among_confirmed
formal_role_overture_15,james river,james-river,current_exact,1,1,0,0.00,0,0.00
formal_role_overture_37,piedmont triad,piedmont-triad,current_exact,2,2,1,50.00,1,100.00
human_sexuality_aic_2019_2021,central carolina,central-carolina,current_exact,1,1,0,0.00,0,0.00
human_sexuality_aic_2019_2021,metropolitan new york,metropolitan-new-york,current_exact,1,1,0,0.00,0,0.00
human_sexuality_aic_2019_2021,missouri,missouri,current_exact,1,1,1,100.00,1,100.00
human_sexuality_aic_2019_2021,north texas,north-texas,current_exact,1,1,0,0.00,0,0.00
human_sexuality_aic_2019_2021,northern illinois,northern-illinois,current_exact,1,1,0,0.00,0,0.00
human_sexuality_aic_2019_2021,pittsburgh,pittsburgh,current_exact,1,1,0,0.00,0,0.00
human_sexuality_aic_2019_2021,tennessee valley,tennessee-valley,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,blue ridge,blue-ridge,current_exact,4,4,1,25.00,1,100.00
nae_withdrawal_protest_2022,calvary,calvary,current_exact,5,5,3,60.00,3,100.00
nae_withdrawal_protest_2022,catawba valley,catawba-valley,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,central carolina,central-carolina,current_exact,4,4,1,25.00,1,100.00
nae_withdrawal_protest_2022,central florida,central-florida,current_exact,4,4,2,50.00,2,100.00
nae_withdrawal_protest_2022,central georgia,central-georgia,current_exact,3,3,1,33.33,1,100.00
nae_withdrawal_protest_2022,central indiana,central-indiana,current_exact,3,3,2,66.67,2,100.00
nae_withdrawal_protest_2022,chesapeake,chesapeake,current_exact,8,8,1,12.50,1,100.00
nae_withdrawal_protest_2022,chicago metro,chicago-metro,current_exact,1,1,1,100.00,1,100.00
nae_withdrawal_protest_2022,columbus metro,,unresolved_historical_or_noncanonical,1,1,1,100.00,1,100.00
nae_withdrawal_protest_2022,covenant,covenant,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,eastern canada,eastern-canada,current_exact,3,3,2,66.67,2,100.00
nae_withdrawal_protest_2022,eastern carolina,eastern-carolina,current_exact,3,3,0,0.00,0,0.00
nae_withdrawal_protest_2022,evangel,evangel,current_exact,9,9,2,22.22,2,100.00
nae_withdrawal_protest_2022,fellowship,fellowship,current_exact,2,2,0,0.00,0,0.00
nae_withdrawal_protest_2022,georgia foothills,georgia-foothills,current_exact,6,6,2,33.33,2,100.00
nae_withdrawal_protest_2022,grace,grace,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,great lakes,great-lakes,current_exact,6,6,2,33.33,2,100.00
nae_withdrawal_protest_2022,gulf coast,gulf-coast,current_exact,2,2,0,0.00,0,0.00
nae_withdrawal_protest_2022,heartland,heartland,current_exact,2,2,0,0.00,0,0.00
nae_withdrawal_protest_2022,heritage,heritage,current_exact,2,2,1,50.00,1,100.00
nae_withdrawal_protest_2022,hills and plains,hills-and-plains,current_exact,4,4,4,100.00,4,100.00
nae_withdrawal_protest_2022,houston metro,houston-metro,current_exact,2,2,2,100.00,2,100.00
nae_withdrawal_protest_2022,illiana,illiana,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,james river,james-river,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,korean capital,korean-capital,current_exact,7,7,5,71.43,5,100.00
nae_withdrawal_protest_2022,korean capitol,korean-capital,known_alias,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,korean eastern,korean-eastern,current_exact,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,korean northwest,korean-northwest,current_exact,3,3,0,0.00,0,0.00
nae_withdrawal_protest_2022,korean southwest orange,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,lowcountry,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,maryland,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
nae_withdrawal_protest_2022,metro atlanta,metro-atlanta,current_exact,14,14,7,50.00,7,100.00
